DIRECTORIO,SECUENCIA_P,SECUENCIA_ENCUESTA,P3050,P3051,P639,P3052,CLASE_TE,COD_DEPTO,AREA,F_EXP
7628995,1,1,1,5,5,1,1,68,68,24.6503772668901
7628997,1,1,1,2,2,6,1,68,68,17.60732809032
7628998,1,5,1,2,4,1,1,68,68,22.5288468731275
7628999,1,2,1,5,5,2,1,68,68,91.4127790938788
7629003,1,1,1,2,4,6,1,68,68,18.5897589178635
7629005,1,1,1,2,3,2,1,68,68,28.2076112848566
7629006,1,1,1,2,4,6,1,68,68,26.5035616108156
7629007,1,1,1,1,2,1,1,68,68,22.4217361866746
7629008,1,1,1,2,3,1,1,68,68,26.5158639184992
7629012,1,1,1,2,5,1,1,68,68,25.2136349128534
7629013,1,2,1,2,5,2,1,68,68,73.3605447011771
7629021,1,1,1,5,5,1,1,68,68,39.9146311260765
7629023,1,2,2,2,5,3,1,68,68,45.4513227736073
7629023,1,3,2,7,3,1,1,68,68,45.4513227736073
7629028,1,1,1,2,4,2,1,68,68,39.2097646701225
7629034,1,2,1,5,5,1,1,68,68,27.6271317559986
7629037,1,1,1,1,5,1,1,68,68,31.4722060792595
7629039,1,1,1,5,5,2,1,68,68,109.162861920877
7629041,1,1,1,4,2,1,1,68,68,35.2276506410424
7629043,1,1,1,1,2,1,1,68,68,111.838320344924
7629044,1,1,1,5,5,1,1,68,68,91.4721883730647
7629045,1,1,1,5,5,1,1,68,68,129.379971504559
7629052,1,2,1,5,4,1,1,68,68,34.5288007743556
7629056,1,3,1,1,5,1,1,68,68,118.466139455905
7629061,1,1,1,1,4,1,1,68,68,56.5108405008749
7629061,2,1,1,1,3,1,1,68,68,56.5108405008749
7629062,1,5,1,1,1,2,1,68,68,124.301147555994
7629064,1,1,1,1,5,6,1,68,68,34.8600018144908
7629064,1,2,1,1,5,1,1,68,68,34.8600018144908
7629065,1,1,1,5,5,1,1,68,68,168.707223408722
7629069,1,1,1,2,4,3,1,68,68,25.6549714678641
7629069,1,2,1,2,5,1,1,68,68,25.6549714678641
7629072,1,1,1,5,5,1,1,68,68,26.6376227033335
7629074,1,1,1,4,4,1,1,68,68,33.1294520135195
7629075,1,1,1,1,5,1,1,68,68,26.9534207750378
7629076,1,1,1,5,5,2,1,68,68,22.9215046883599
7629076,1,2,2,5,5,2,1,68,68,22.9215046883599
7629076,1,3,2,4,4,2,1,68,68,22.9215046883599
7629079,1,2,1,1,5,6,1,70,70,17.5057766832496
7629079,1,8,1,1,4,6,1,70,70,17.5057766832496
